ml_cape,ml_cin,ml_lcl,ml_lfc,mu_cape,mu_cin,mu_lcl,mu_lfc,sb_cape,sb_cin,best_cape,best_cin,cape0_3km,dn_cape,shr6,shr3,shr1,srh3,srh1,STP T03,STP T03 >0,lr0_3km,tmp_sfc,dwp_sfc,rh_sfc,pw,,magnitude
1354.38,-23.65,695.88,,2190.62,0,570.82,962.54,2190.62,0.01,1546.94,-2.76,25.49,685.03,49.7599,35.7941,28.781,239.88,176.26,2.581904067,2.581904067,5.33,23.11,21.17,90.1,1.71,,2
1194.75,-67.65,617,,1546.75,-2.27,558.32,1126.92,869.38,-71.99,1389.62,-4.95,19.74,610.93,52.7946,41.9654,34.2229,325.08,246.3,3.58097991,3.58097991,4.56,20.03,19.93,94.19,1.72,,0
246.25,-0.02,1004.75,,521.88,0,1000.07,1073.17,521.88,0.01,241.5,-0.04,116.66,210.5,36.0395,22.7367,17.4825,110.58,87.87,0.129353016,0.129353016,8.62,7.98,2.12,66.16,0.39,,0
1430.69,-47.77,653.88,,1772,-1.92,586.17,874.47,1674.62,-12.67,1665.62,-2.33,34.03,706.71,51.5161,35.0292,23.9181,289.8,189.52,3.13383476,3.13383476,4.76,21.78,21.19,94.95,1.77,,2
1303.81,-41.74,707.5,,1663.62,-10.72,625.17,1120.97,1663.62,-10.73,1530.56,-8.61,40.27,558.8,58.4949,45.7293,40.0867,426.94,325.55,5.34846689,5.34846689,5.43,22.31,20.69,93.51,1.83,,0
521.31,-87.06,486.25,,1094,-11.12,884.75,1530.48,326.88,-138.81,1093.94,-11.11,3.33,318.33,63.4632,55.2632,37.8091,549.43,364.71,3.044167883,3.044167883,4.73,19.56,18.79,94.99,1.81,,0
638.12,-58.25,744.38,,778.38,-7.08,849.72,1376.47,434.38,-64.9,778.38,-7.1,29.12,470.03,59.1533,44.8491,28.94,420.65,267.25,2.11108647,2.11108647,5.5,21.63,18.8,83.87,1.78,,1
860.81,-39.37,690.88,,1011.25,-4.31,670.22,858.35,986.12,-19.15,958.62,-3.66,58.39,570.22,57.5898,40.9787,30.6942,374.19,271.38,2.935343424,2.935343424,5.67,22.24,20.13,89.12,1.8,,2
564.25,-72.21,781,,764,-10.39,868.6,1607.72,350.25,-85.34,764.06,-10.41,20.28,454.31,60.0031,42.1969,30.4159,457.02,310.72,2.137307056,2.137307056,5.42,21.45,18.19,81.69,1.74,,1
735.38,-29.71,762,,1095.5,-8.73,700.72,1265.6,1095.5,-8.71,864.5,-4.73,46.32,535.38,60.2197,40.5526,27.3048,355.32,234.28,2.140696069,2.140696069,5.91,23.13,19.87,80.26,1.78,,1
